Data;Classificacao;Descricao;Meio;Valor
01/02/2018;2.4.1 Combustível;gazolina;DINHEIRO;20
01/02/2018;2.5 Compra de Jogos;JOgos iniciais 4/12;DINHEIRO;171,13
01/02/2018;2.6.3 Despesas em geral;PRO-LABORE LEANDRO E RODRIGO;DINHEIRO;100
24/02/2018;2.8 agua, Luz e Aluguel;ALUGUEL;DINHEIRO;1100
01/02/2018;2.9 Marketing;marketing face;DINHEIRO;19,9
01/02/2018;2.4.2 Diaria Funcionarios;diaria nathi;DINHEIRO;50
02/02/2018;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;69,26
02/02/2018;2.3.4 Outros Descartaveis;REPOSIcaO DE ESTOQUE papel higienio, papel toalha;DINHEIRO;61,67
02/02/2018;2.2.2 Pao;paes e mussarela;DINHEIRO;13,3
02/02/2018;2.9 Marketing;marketing face;DINHEIRO;6
03/02/2018;2.4.1 Combustível;gazolina;DINHEIRO;20
03/02/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;28,92
05/02/2018;2.8.1 Ambiente e Manutencao;fita dupla face;DINHEIRO;6,1
06/02/2018;2.3.4 Outros Descartaveis;sabao em po;DINHEIRO;4,99
07/02/2018;2.2.2 Pao;paes;DINHEIRO;8
12/02/2018;2.8 agua, Luz e Aluguel;sabesp;DINHEIRO;44,62
08/02/2018;2.2.1 Carne;carne;DINHEIRO;32,75
08/02/2018;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;51,6
08/02/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;51,3
08/02/2018;2.2.2 Pao;paes e mussarela;DINHEIRO;21,15
09/02/2018;2.2.2 Pao;paes;DINHEIRO;4,8
09/02/2018;2.4.1 Combustível;gazolina;DINHEIRO;10
09/02/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;124,32
09/02/2018;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;40,4
09/02/2018;2.3.4 Outros Descartaveis;papel sufilme;DINHEIRO;14,5
08/02/2018;2.9 Marketing;marketing face;DINHEIRO;19,9
10/02/2018;2.7 Corujao;corujao cacau para bolo;DINHEIRO;22,01
10/02/2018;2.7 Corujao;corujao gazolina;DINHEIRO;15
10/02/2018;2.7 Corujao;corujao bebidas;DINHEIRO;58,86
10/02/2018;2.7 Corujao;corujao compras bolo;DINHEIRO;9,79
14/02/2018;2.2.2 Pao;paes;DINHEIRO;12
15/02/2018;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;86,47
15/02/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;40,38
15/02/2018;2.2.1 Carne;carne;DINHEIRO;40
15/02/2018;2.2.2 Pao;paes e mussarela;DINHEIRO;20
10/02/2018;2.7 Corujao;corujao pizza e descartaveis;DINHEIRO;200
15/02/2018;2.2.4 Insumos;vivo;DINHEIRO;124,98
15/02/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;21,3
27/02/2018;2.8 agua, Luz e Aluguel;bandeirantes;DINHEIRO;180,05
15/02/2018;2.4.2 Diaria Funcionarios;diaria nathi;DINHEIRO;50
15/02/2018;2.9 Marketing;marketing face;DINHEIRO;19,9
16/02/2018;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;9,79
16/02/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;50,22
17/02/2018;2.2.2 Pao;paes mussarela alface;DINHEIRO;27,67
